Stage,Model,RMSE,MAE,R2
Early,Ridge,7.313848334415826,5.627459350381117,0.6308040726079585
Early,Random Forest,7.479662767775335,5.584855051880331,0.6138740088236248
Early,XGBoost,7.321853600931855,5.587588446234894,0.629995434223223
28-day,Ridge,7.133264418712669,5.338627205973259,0.754201377472792
28-day,Random Forest,5.709466661168431,3.7816032015961243,0.8425314307204994
28-day,XGBoost,5.672022763809338,3.8927882948420978,0.8445900827473308
Later,Ridge,7.531804526273553,5.930848185584154,0.6523205369011262
Later,Random Forest,6.217788891473046,4.7743640412651445,0.7630520786263251
Later,XGBoost,5.9291759043090355,4.552489907459126,0.7845385253339017
