Feature,Early,28-day,Later,Early_Rank,28-day_Rank,Later_Rank
cement,37.184805465972936,40.80042390281176,16.972781210750163,1,1,3
superplasticizer,23.194130505887543,6.421553956008938,30.665115600372093,2,4,1
water,16.39708298274978,18.93412778696052,15.334403593167757,3,3,4
slag,4.0524127695794805,22.682599741018514,11.356177728563377,6,2,5
fine_aggregate,10.934653411542989,4.524927901704865,18.552385289543686,4,5,2
coarse_aggregate,5.205559136007605,4.4607189982332835,4.086818086691328,5,6,6
fly_ash,3.0313557282596575,2.1756477132621335,3.0323184909115914,7,7,7
