Feature,Early,28-day,Later,Average_Importance
cement,37.184805465972936,40.80042390281176,16.972781210750163,31.652670193178285
superplasticizer,23.194130505887543,6.421553956008938,30.665115600372093,20.093600020756192
water,16.39708298274978,18.93412778696052,15.334403593167757,16.88853812095935
slag,4.0524127695794805,22.682599741018514,11.356177728563377,12.69706341305379
fine_aggregate,10.934653411542989,4.524927901704865,18.552385289543686,11.337322200930513
coarse_aggregate,5.205559136007605,4.4607189982332835,4.086818086691328,4.584365406977406
fly_ash,3.0313557282596575,2.1756477132621335,3.0323184909115914,2.7464406441444607
